"","blueWins","blueWardsPlaced","blueWardsDestroyed","blueFirstBlood","blueKills","blueDeaths","blueAssists","blueEliteMonsters","blueDragons","blueHeralds","blueTowersDestroyed","blueAvgLevel","blueTotalExperience","blueTotalJungleMinionsKilled","blueGoldDiff","blueExperienceDiff","blueCSPerMin","blueGoldPerMin","redWardsPlaced","redWardsDestroyed","redAssists","redEliteMonsters","redDragons","redHeralds","redTowersDestroyed","redAvgLevel","redTotalExperience","redTotalJungleMinionsKilled","redCSPerMin","redGoldPerMin"
"1","0",28,2,"1",9,6,11,0,"0","0","0",6.6,17039,36,643,-8,19.5,1721,15,6,8,0,"0","0","0",6.8,17047,55,19.7,1656.7
"2","0",12,1,"0",5,5,5,0,"0","0","0",6.6,16265,43,-2908,-1173,17.4,1471.2,12,1,2,2,"1","1","1",6.8,17438,52,24,1762
"3","0",15,0,"0",7,11,4,1,"1","0","0",6.4,16221,46,-1172,-1033,18.6,1611.3,15,3,14,0,"0","0","0",6.8,17254,28,20.3,1728.5
"4","0",43,1,"0",4,5,5,1,"0","1","0",7,17954,55,-1321,-7,20.1,1515.7,15,2,10,0,"0","0","0",7,17961,47,23.5,1647.8
"5","0",75,4,"0",6,6,6,0,"0","0","0",7,18543,57,-1004,230,21,1640,17,2,7,1,"1","0","0",7,18313,67,22.5,1740.4
"6","1",18,0,"0",5,3,6,1,"1","0","0",7,18161,42,698,101,22.5,1589.9,36,5,2,0,"0","0","0",7,18060,59,22.1,1520.1
"7","1",18,3,"1",7,6,7,1,"1","0","0",6.8,16967,53,2411,1563,22.5,1687.4,57,1,9,0,"0","0","0",6.4,15404,35,16.4,1446.3
"8","0",16,2,"0",5,13,3,0,"0","0","0",6.4,16138,48,-2615,-800,20.9,1530.5,15,0,11,1,"1","0","0",6.6,16938,54,15.7,1792
"9","0",16,3,"0",7,7,8,0,"0","0","0",7.2,18527,61,-1979,-771,18.9,1640.1,15,2,5,2,"1","1","0",7.2,19298,53,24,1838
"10","1",13,1,"1",4,5,5,1,"1","0","0",6.8,16805,39,-1548,-1574,22,1505.7,16,2,4,0,"0","0","0",6.8,18379,43,24.7,1660.5
"11","0",20,3,"1",4,4,6,0,"0","0","0",6.6,16611,28,331,-1585,23.1,1547.4,15,2,5,1,"1","0","0",7.2,18196,51,21.6,1514.3
"12","0",33,2,"1",11,11,7,1,"0","1","0",7,18507,40,-1505,-635,15.7,1669.5,17,1,9,0,"0","0","0",7,19142,52,18.8,1820
"13","1",18,1,"1",7,1,11,1,"1","0","0",7.4,19102,53,3274,1659,23.8,1786.5,12,1,1,0,"0","0","0",6.8,17443,50,24,1459.1
"14","0",14,3,"0",4,9,1,1,"0","1","0",6.6,17213,52,-3414,-1141,21,1497.9,20,3,11,0,"0","0","0",7.2,18354,51,22.9,1839.3
"15","1",15,3,"1",4,4,4,0,"0","0","0",6.8,17896,51,-470,-187,22.4,1572.2,102,1,3,0,"0","0","0",7,18083,48,24.2,1619.2
"16","0",17,1,"0",3,7,3,0,"0","0","0",6.8,16974,53,-1996,-1804,20.9,1501.5,18,3,13,0,"0","0","0",7.2,18778,51,23.7,1701.1
"17","1",14,1,"1",10,2,8,0,"0","0","0",7.6,20862,56,5228,3378,26.3,1973.3,13,2,2,1,"1","0","0",6.8,17484,64,21,1450.5
"18","0",43,3,"0",3,7,3,1,"0","1","0",6.8,16888,54,-1975,-1345,20.3,1485.2,17,14,6,0,"0","0","0",6.8,18233,53,21.8,1682.7
"19","1",21,4,"1",5,4,11,0,"0","0","0",6.8,17378,49,882,512,21.3,1628.2,19,3,3,2,"1","1","0",6.6,16866,52,22.8,1540
"20","0",11,3,"0",5,9,5,0,"0","0","0",7,17924,48,-3155,-2773,18.8,1499.4,15,1,9,0,"0","0","0",7.4,20697,56,21.9,1814.9
"21","1",14,3,"1",11,6,15,1,"1","0","0",7.2,19254,45,2526,1625,21.4,1860.6,12,2,4,0,"0","0","0",7,17629,48,22.5,1608
"22","0",13,1,"0",4,13,5,0,"0","0","0",6.8,16945,43,-2835,-2821,20.3,1587.8,15,3,14,1,"1","0","0",7.2,19766,45,20.9,1871.3
"23","0",17,2,"0",4,6,3,0,"0","0","0",7,17562,56,-1254,-567,23.8,1577.3,16,3,10,1,"1","0","0",7,18129,60,23.1,1702.7
"24","0",78,4,"0",4,3,4,2,"1","1","0",6.8,19219,67,406,1283,23.8,1590.6,15,3,3,0,"0","0","0",7,17936,64,22,1550
"25","1",33,3,"0",6,9,10,0,"0","0","0",6.8,17223,45,-1020,493,20.8,1651.5,18,3,13,0,"0","0","0",6.6,16730,36,19.7,1753.5
